#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      2.55e+00    3.10e+00      2.36e-02    6.58e-02      8.33e-02    1.01e-01    9.4e-04
   6000      2.53e+00    1.61e-02      2.27e-03    5.67e-02      8.27e-02    1.80e-17    9.4e-04
   6100      4.23e+00    3.63e+00      1.42e-01    1.47e-01      1.38e-01    1.18e-01    9.4e-04
   6200      3.81e+00    1.71e-01      3.85e-01    4.24e-01      1.22e-01    6.11e-07    9.4e-04
   6300      5.87e+00    6.26e+00      3.32e-01    8.33e-02      1.90e-01    2.04e-01    9.4e-04
   6400      8.68e-01    2.95e+00      1.75e-02    4.08e-02      2.83e-02    9.63e-02    9.4e-04
   6500      6.45e+00    2.46e+00      7.43e-02    4.28e-02      2.11e-01    8.04e-02    9.4e-04
   6600      3.29e+00    4.07e+00      2.96e-02    3.79e-01      1.07e-01    1.30e-01    9.4e-04
   6700      1.01e+00    8.97e-01      7.79e-02    3.17e-02      3.27e-02    2.93e-02    9.4e-04
   6800      7.47e-01    2.44e+00      5.18e-02    1.44e-01      2.43e-02    7.91e-02    9.4e-04
   6900      7.75e-01    9.64e-01      2.48e-01    1.28e-01      2.36e-02    3.11e-02    9.4e-04
   7000      3.62e+00    1.29e+01      4.13e-01    3.71e-01      1.17e-01    4.21e-01    9.4e-04
   7100      3.94e+00    2.79e+00      3.95e-02    1.72e-01      1.28e-01    9.02e-02    9.4e-04
   7200      1.32e+00    3.19e+00      3.06e-01    1.77e-01      4.16e-02    1.03e-01    9.4e-04
   7300      3.86e+00    4.36e-02      1.12e-01    1.53e-01      1.26e-01    2.08e-17    9.4e-04
   7400      3.35e+00    1.77e+02      3.03e-02    2.54e-01      1.09e-01    5.79e+00    9.4e-04
   7500      2.65e+00    1.34e+01      1.10e-01    8.70e-01      8.61e-02    4.37e-01    9.4e-04
   7600      3.97e+00    2.63e+00      9.26e-02    1.18e-01      1.29e-01    8.48e-02    9.4e-04
   7700      1.09e+00    5.42e-02      1.72e-01    1.35e-01      3.50e-02    8.17e-07    9.4e-04
   7800      2.66e+00    5.28e-03      7.64e-02    1.86e-02      8.67e-02    5.76e-17    9.4e-04
   7900      2.34e+00    2.38e+00      9.00e-03    7.58e-02      7.64e-02    7.75e-02    9.4e-04
   8000      3.55e+00    3.54e+01      4.08e-01    1.69e+00      1.13e-01    1.16e+00    9.4e-04
   8100      3.67e+00    2.92e+00      1.17e-01    8.37e-02      1.20e-01    9.53e-02    9.4e-04
   8200      1.34e+00    1.86e+00      2.08e-02    7.02e-02      4.38e-02    6.08e-02    9.4e-04
   8300      3.04e+00    6.08e+00      3.40e-02    1.32e-01      9.94e-02    1.98e-01    9.4e-04
   8400      5.86e+00    3.44e+02      3.14e-01    5.90e-01      1.90e-01    1.12e+01    9.4e-04
   8500      1.78e+00    3.95e+00      1.91e-01    2.84e-01      5.78e-02    1.28e-01    9.4e-04
   8600      6.76e-01    2.50e+00      2.27e-01    3.30e-01      2.04e-02    7.38e-02    9.4e-04
   8700      2.69e+00    1.95e+00      2.42e-01    9.08e-02      8.62e-02    6.35e-02    9.4e-04
   8800      9.81e-01    3.51e-02      1.55e-02    1.23e-01      3.20e-02    2.83e-17    9.4e-04
   8900      1.24e+00    2.93e+00      6.39e-02    6.31e-03      4.04e-02    9.56e-02    9.4e-04
   9000      4.39e+00    6.28e+02      1.50e-01    2.49e+00      1.43e-01    2.05e+01    9.4e-04
   9100      5.52e-01    1.37e+00      2.40e-02    9.81e-03      1.80e-02    4.47e-02    9.4e-04
   9200      7.16e+00    1.75e+02      1.48e-01    2.50e+00      2.33e-01    5.71e+00    9.4e-04
   9300      5.25e+00    3.09e+00      5.46e-03    1.50e-02      1.71e-01    1.01e-01    9.4e-04
   9400      2.70e+00    3.15e-03      1.84e-02    7.83e-03      8.81e-02    3.98e-07    9.4e-04
   9500      1.10e+00    3.43e+00      3.80e-01    6.17e-01      3.29e-02    1.04e-01    9.4e-04
   9600      3.95e+00    1.54e-02      6.90e-02    5.41e-02      1.29e-01    1.22e-17    9.4e-04
   9700      3.01e+00    2.11e+01      4.74e-02    1.04e-01      9.84e-02    6.89e-01    9.4e-04
   9800      1.90e+00    2.90e+00      1.59e-03    2.85e-02      6.20e-02    9.48e-02    9.4e-04
   9900      3.29e+00    2.83e+00      2.10e-01    7.84e-02      1.06e-01    9.20e-02    9.4e-04
  10000      3.64e+00    9.63e-01      1.96e-01    5.70e-02      1.18e-01    3.14e-02    9.4e-04
  10100      8.39e-01    2.46e+00      4.78e-02    3.81e-02      2.82e-02    8.28e-02    8.8e-04
  10200      1.97e+00    6.34e-02      7.77e-02    1.71e-01      6.61e-02    7.10e-17    8.8e-04
  10300      6.44e+00    3.86e+00      9.20e-02    1.11e-01      2.17e-01    1.30e-01    8.8e-04
  10400      3.22e+00    2.98e+00      1.51e-01    1.35e-01      1.06e-01    9.98e-02    8.8e-04
  10500      5.19e+00    2.50e+00      1.26e-01    1.06e-01      1.74e-01    8.29e-02    8.8e-04
  10600      1.96e+00    2.74e+00      8.24e-02    9.05e-02      6.58e-02    9.19e-02    8.8e-04
